dataset_id,lab,method,cite
Almoammer2013,Barner,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453."
Wagner2019,Barner,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?. Developmental science, 22(1), e12752."
Piantadosi2014,Piantadosi,non-titrated,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563."
Sarnecka2007,Sarnecka,non-titrated,"Sarnecka, B. W., Kamenskaya, V. G., Yamana, Y., Ogura, T., & Yudovina, Y. B. (2007). From grammatical number to exact numbers: Early meanings of ‘one’,‘two’, and ‘three’in English, Russian, and Japanese. Cognitive psychology, 55(2), 136-168."
SarneckaNegen2019,Sarnecka,non-titrated,"Sarnecka, B. W., & Negen, J. (2019, May 30). Longitudinal Number-Knower Data. https://doi.org/10.17605/OSF.IO/EZNHT"
Krajcsi2018,Krajcsi,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69"
Boni20xx_ordered,Piantadosi,non-titrated,Boni et al. (unpublished data)
Boni20xx_random,Piantadosi,non-titrated,Boni et al. (unpublished data)
SchneiderBarner_2020,Barner,titrated,"Schneider, R.M., & Barner, D. (2020). Children use one-to-one correspondence to establish equality after learning to count. 42nd Annual Meeting of the Cognitive Science Society."
SchneiderBarner_20xx,Barner,titrated,"Schneider, R.M., Feiman, R., & Barner, D. (unpublished dataset)."
SchneiderEtAl_20xx,Barner,titrated,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr."
SchneiderYen_20xx,Barner,titrated,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset)."
SchneiderEtAl_2020,NA,Non-titrated,NA
BarnerChowYoungE1,Barner,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219."
BarnerChowYoungE2,Barner,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219."
BarnerTakasaki2009,Barner,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese. Journal of experimental child psychology, 103(4), 421-440."
Marusic2016,Barner,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborsek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian. PloS one, 11(8), e0159208."
