dataset_id,lab,method,cite
Almoammer_Barner_2013,Barner,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453."
Wagner2019,Barner,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?. Developmental science, 22(1), e12752."
Piantadosi_Gibson_2014,Piantadosi,non-titrated,"Piantadosi, S. T., Jara‐Ettinger, J., & Gibson, E. (2014). Children's learning of number words in an indigenous farming‐foraging group. Developmental Science, 17(4), 553-563."
Sarnecka2007,Sarnecka,non-titrated,"Sarnecka, B. W., Kamenskaya, V. G., Yamana, Y., Ogura, T., & Yudovina, Y. B. (2007). From grammatical number to exact numbers: Early meanings of ‘one’,‘two’, and ‘three’in English, Russian, and Japanese. Cognitive psychology, 55(2), 136-168."
Sarnecka_Negen_2019,Sarnecka,non-titrated,"Sarnecka, B. W., & Negen, J. (2019, May 30). Longitudinal Number-Knower Data. https://doi.org/10.17605/OSF.IO/EZNHT"
Krajcsi2018,Krajcsi,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69"
Boni_Unpublished_ordered,Piantadosi,non-titrated,Boni et al. (unpublished data)
Boni_Unpublished_random,Piantadosi,non-titrated,Boni et al. (unpublished data)
Schneider_Barner_UnderReview,Barner,titrated,"Schneider, R.M., Brockbank, E., Feiman, R., & Barner, D. (under review). Counting and the ontogenetic origins of exact equality."
Schneider_Barner_Unpublished,Barner,titrated,"Schneider, R.M., Yen, A., & Barner, D. (unpublished dataset)."
Schneider_Barner_2020,Barner,Non-titrated,"Schneider, R. M., Sullivan, J., Marusic, F., Biswas, P., Mismas, P., Plesnicar, V., & Barner, D. (2020). Do children use language structure to discover the recursive rules of counting?. Cognitive psychology, 117, 101263."
MarchandUnderRev,Barner,nontitrated,"Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
MarchandUnderRev,Barner,titrated,"Marchand, E., & Barner, D. (2021). How Reliable is the Give-a-Number task?. 42nd Meeting of the Annual Cognitive Sciences Society."
Marchand2019,Barner,titrated,"Marchand, E., & Barner, D. (2019). The acquisition of French Un. 41st Meeting of the Annual Cognitive Sciences Society."
Barner_Takasaki_2009,Barner,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese. Journal of experimental child psychology, 103(4), 421-440."
Barner_Yang_2009,Barner,titrated,"Barner, D., Chow, K., & Yang, S. J. (2009). Finding one’s meaning: A test of the relation between quantifiers and integers in language development. Cognitive psychology, 58(2), 195-219."
Marchand2019,Barner,titrated,"Marchand, E., & Barner, D. (2019). Acquisition of French Un. Proceedings of the 41st Annual Conference of the Cognitive Science Society."
MarchandUnderRev,Barner,nontitrated,"Marchand, E., & Barner, D. (2020). How reliable if the Give-a-number task?. Proceedings of the 42nd Annual Conference of the Cognitive Science Society."
MarchandUnderRev,Barner,titrated,"Marchand, E., & Barner, D. (2020). How reliable if the Give-a-number task?. Proceedings of the 42nd Annual Conference of the Cognitive Science Society."
Marusic_Barner_2016,Barner,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborsek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian. PloS one, 11(8), e0159208."
Schneider_Barner_2021,Barner,titrated,"Schneider, R. M., Pankonin, A., Schachner, A., & Barner, D. (2021). Starting small: Exploring the origins of successor function knowledge. Developmental Science, 24(4), e13091."
Schneider_Barner_2021,Barner,titrated,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr."
